col0,col1,col2,col3,col4,col5,col6,col7,col8,is_centroid
17.89254,7.06911,25.24449,14.16441,15.69803,40.22703,24.65130,15.63196,39.27821,0
41.28568,44.24800,49.96371,48.81978,49.79290,13.08684,43.01099,35.64536,25.82710,0
33.43482,16.86779,22.02454,33.45987,37.64967,2.79371,13.80996,40.59954,12.32794,0
21.72956,45.37019,23.15222,3.37767,21.30219,7.48925,46.26108,12.58311,48.62959,0
46.95411,44.26436,48.23491,2.06100,39.27874,49.02480,26.03639,21.74033,21.72035,0
9.10100,33.03484,17.11833,48.41401,22.01719,15.04450,25.60127,7.02111,46.80085,0
23.37598,48.59705,4.28848,4.47606,21.44325,5.05132,44.93298,2.78210,28.68131,0
13.57068,23.61402,45.78929,42.28554,9.83155,23.59122,29.64748,8.62062,9.58852,0
27.59625,7.53252,1.63498,36.87380,23.95304,41.61983,2.62835,41.13549,24.19727,0
18.07087,2.63695,24.87233,12.37984,46.19741,11.31619,3.29076,21.50901,31.30574,0
17.02997,19.04391,7.01386,24.49417,12.15287,42.58222,13.49436,19.32831,23.07342,0
2.53662,38.64529,17.82857,42.70665,25.36805,46.32018,1.61251,20.27879,31.76075,0
24.57947,40.70290,18.81562,14.37390,31.05057,26.43224,32.00148,21.83899,31.95916,0
21.96581,35.76816,7.66208,41.28545,35.27157,11.16015,23.57308,0.85825,21.14229,0
25.74524,20.17650,34.98238,49.27920,0.46638,10.71074,26.02822,31.72377,11.65637,0
2.94933,8.11785,9.43803,43.85317,25.71530,7.96806,33.18048,20.81375,7.40531,0
11.94790,35.72374,16.68993,45.88017,39.85249,13.83857,7.02955,14.71666,41.49049,0
15.58031,11.67122,26.70909,30.01753,23.47913,17.63578,16.20387,28.75791,42.85285,0
0.67669,34.25721,6.63710,43.49573,0.25087,20.10411,26.29131,39.95838,34.64336,0
45.34022,31.06515,18.41898,36.40622,21.99601,37.77619,13.24352,28.32185,10.88340,0
38.52262,11.91688,37.86198,1.22092,9.06112,28.58746,8.31169,31.79701,47.00027,0
17.53190,6.09531,24.91555,3.00090,34.86524,41.27002,19.97572,11.53706,13.10731,0
42.64347,19.42917,42.19976,11.79106,0.08614,35.94061,16.55176,23.61040,8.70641,0
31.93375,12.56035,30.67975,14.43513,24.33788,29.38412,40.35932,32.76574,37.14265,0
10.67663,48.88809,7.86990,45.64690,23.47224,40.64564,11.36475,13.26876,0.32724,0
42.53347,3.98000,16.57010,13.25860,23.52898,37.07275,41.80047,38.32803,22.54567,0
9.63950,3.75445,34.21519,35.21274,22.51565,3.20183,18.55293,28.32018,48.62734,0
